K,分区(单元下标),分区(服务区),缺口总数,配置总数,运输架次占用时长CV,需求_A型运输无人机,需求_B型运输无人机,需求_C型运输无人机,需求_A型共享电池,需求_B型共享电池,需求_C型共享电池,需求_中继无人机,需求_中继能源组件
3,"0;1,4,5;2,3,6",S001、S002、S005、S008、S014 / S003、S006、S007、S010、S012、S015 / S004、S009、S011、S013,12,36,0.262644589,7,5,3,9,5,5,1,1
3,"0;1,4,6;2,3,5",S001、S002、S005、S008、S014 / S003、S006、S007、S010、S013、S015 / S004、S009、S011、S012,11,35,0.250994747,7,4,3,9,5,5,1,1
3,"0;1,5,6;2,3,4",S001、S002、S005、S008、S014 / S003、S006、S007、S012、S013、S015 / S004、S009、S010、S011,12,36,0.261305032,7,5,3,9,5,5,1,1
3,"0;1,2,3,4;5,6",S001、S002、S005、S008、S014 / S003、S004、S006、S007、S009、S010、S011、S015 / S012、S013,8,32,0.546558598,5,5,2,8,6,4,1,1
3,"0;1,2,3,5;4,6",S001、S002、S005、S008、S014 / S003、S004、S006、S007、S009、S011、S012、S015 / S010、S013,7,31,0.565138089,5,4,2,8,6,4,1,1
3,"0;1,2,3,6;4,5",S001、S002、S005、S008、S014 / S003、S004、S006、S007、S009、S011、S013、S015 / S010、S012,8,32,0.544295492,5,5,2,8,6,4,1,1
3,"0;1,2,4,5;3,6",S001、S002、S005、S008、S014 / S003、S004、S006、S007、S010、S011、S012、S015 / S009、S013,7,31,0.564982748,5,5,2,8,5,4,1,1
3,"0;1,2,4,6;3,5",S001、S002、S005、S008、S014 / S003、S004、S006、S007、S010、S011、S013、S015 / S009、S012,6,30,0.54414124,5,4,2,8,5,4,1,1
3,"0;1,2,5,6;3,4",S001、S002、S005、S008、S014 / S003、S004、S006、S007、S011、S012、S013、S015 / S009、S010,7,31,0.56270552,5,5,2,8,5,4,1,1
3,"0;1,3,4,5;2,6",S001、S002、S005、S008、S014 / S003、S006、S007、S009、S010、S012、S015 / S004、S011、S013,12,36,0.317681348,7,5,3,9,5,5,1,1
3,"0;1,3,4,6;2,5",S001、S002、S005、S008、S014 / S003、S006、S007、S009、S010、S013、S015 / S004、S011、S012,11,35,0.301725724,7,4,3,9,5,5,1,1
3,"0;1,3,5,6;2,4",S001、S002、S005、S008、S014 / S003、S006、S007、S009、S012、S013、S015 / S004、S010、S011,12,36,0.315903226,7,5,3,9,5,5,1,1
3,"0;1,4,5,6;2,3",S001、S002、S005、S008、S014 / S003、S006、S007、S010、S012、S013、S015 / S004、S009、S011,13,37,0.315782319,7,5,3,9,6,5,1,1
3,"0;1,2,3,4,5;6",S001、S002、S005、S008、S014 / S003、S004、S006、S007、S009、S010、S011、S012、S015 / S013,7,31,0.644908187,5,5,2,8,5,4,1,1
3,"0;1,2,3,4,6;5",S001、S002、S005、S008、S014 / S003、S004、S006、S007、S009、S010、S011、S013、S015 / S012,6,30,0.623611694,5,4,2,8,5,4,1,1
3,"0;1,2,3,5,6;4",S001、S002、S005、S008、S014 / S003、S004、S006、S007、S009、S011、S012、S013、S015 / S010,7,31,0.64258372,5,5,2,8,5,4,1,1
3,"0;1,2,4,5,6;3",S001、S002、S005、S008、S014 / S003、S004、S006、S007、S010、S011、S012、S013、S015 / S009,8,32,0.642425258,5,5,2,8,6,4,1,1
3,"0;1,3,4,5,6;2",S001、S002、S005、S008、S014 / S003、S006、S007、S009、S010、S012、S013、S015 / S004、S011,11,35,0.382025782,7,4,3,9,5,5,1,1
3,"0,1;2;3,4,5,6",S001、S002、S003、S005、S006、S007、S008、S014、S015 / S004、S011 / S009、S010、S012、S013,9,33,0.775271751,6,4,3,8,5,5,1,1
3,"0,1;2,3;4,5,6",S001、S002、S003、S005、S006、S007、S008、S014、S015 / S004、S009、S011 / S010、S012、S013,11,35,0.780920144,6,5,3,8,6,5,1,1
3,"0,1;2,4;3,5,6",S001、S002、S003、S005、S006、S007、S008、S014、S015 / S004、S010、S011 / S009、S012、S013,10,34,0.780899832,6,5,3,8,5,5,1,1
3,"0,1;2,5;3,4,6",S001、S002、S003、S005、S006、S007、S008、S014、S015 / S004、S011、S012 / S009、S010、S013,9,33,0.783592031,6,4,3,8,5,5,1,1
3,"0,1;2,6;3,4,5",S001、S002、S003、S005、S006、S007、S008、S014、S015 / S004、S011、S013 / S009、S010、S012,10,34,0.780606078,6,5,3,8,5,5,1,1
3,"0,1;2,3,4;5,6",S001、S002、S003、S005、S006、S007、S008、S014、S015 / S004、S009、S010、S011 / S012、S013,10,34,0.795804768,6,5,3,8,5,5,1,1
3,"0,1;2,3,5;4,6",S001、S002、S003、S005、S006、S007、S008、S014、S015 / S004、S009、S011、S012 / S010、S013,9,33,0.800619529,6,4,3,8,5,5,1,1
3,"0,1;2,3,6;4,5",S001、S002、S003、S005、S006、S007、S008、S014、S015 / S004、S009、S011、S013 / S010、S012,10,34,0.79524952,6,5,3,8,5,5,1,1
3,"0,1;2,4,5;3,6",S001、S002、S003、S005、S006、S007、S008、S014、S015 / S004、S010、S011、S012 / S009、S013,10,34,0.8005774,6,5,3,8,5,5,1,1
3,"0,1;2,4,6;3,5",S001、S002、S003、S005、S006、S007、S008、S014、S015 / S004、S010、S011、S013 / S009、S012,9,33,0.795211925,6,4,3,8,5,5,1,1
3,"0,1;2,5,6;3,4",S001、S002、S003、S005、S006、S007、S008、S014、S015 / S004、S011、S012、S013 / S009、S010,10,34,0.799963412,6,5,3,8,5,5,1,1
3,"0,1;2,3,4,5;6",S001、S002、S003、S005、S006、S007、S008、S014、S015 / S004、S009、S010、S011、S012 / S013,10,34,0.826202172,6,5,3,8,5,5,1,1
3,"0,1;2,3,4,6;5",S001、S002、S003、S005、S006、S007、S008、S014、S015 / S004、S009、S010、S011、S013 / S012,9,33,0.818626076,6,4,3,8,5,5,1,1
3,"0,1;2,3,5,6;4",S001、S002、S003、S005、S006、S007、S008、S014、S015 / S004、S009、S011、S012、S013 / S010,10,34,0.825349978,6,5,3,8,5,5,1,1
3,"0,1;2,4,5,6;3",S001、S002、S003、S005、S006、S007、S008、S014、S015 / S004、S010、S011、S012、S013 / S009,11,35,0.825292106,6,5,3,8,6,5,1,1
3,"0,2;1;3,4,5,6",S001、S002、S004、S005、S008、S011、S014 / S003、S006、S007、S015 / S009、S010、S012、S013,9,33,0.564554152,5,5,3,7,6,5,1,1
3,"0,2;1,3;4,5,6",S001、S002、S004、S005、S008、S011、S014 / S003、S006、S007、S009、S015 / S010、S012、S013,10,34,0.591731088,5,5,3,7,7,5,1,1
3,"0,2;1,4;3,5,6",S001、S002、S004、S005、S008、S011、S014 / S003、S006、S007、S010、S015 / S009、S012、S013,8,32,0.591666699,5,5,3,7,5,5,1,1
3,"0,2;1,5;3,4,6",S001、S002、S004、S005、S008、S011、S014 / S003、S006、S007、S012、S015 / S009、S010、S013,7,31,0.599680611,5,4,3,7,5,5,1,1
3,"0,2;1,6;3,4,5",S001、S002、S004、S005、S008、S011、S014 / S003、S006、S007、S013、S015 / S009、S010、S012,8,32,0.59072715,5,5,3,7,5,5,1,1
3,"0,2;1,3,4;5,6",S001、S002、S004、S005、S008、S011、S014 / S003、S006、S007、S009、S010、S015 / S012、S013,9,33,0.629447749,5,5,3,7,6,5,1,1
3,"0,2;1,3,5;4,6",S001、S002、S004、S005、S008、S011、S014 / S003、S006、S007、S009、S012、S015 / S010、S013,8,32,0.63970798,5,4,3,7,6,5,1,1
3,"0,2;1,3,6;4,5",S001、S002、S004、S005、S008、S011、S014 / S003、S006、S007、S009、S013、S015 / S010、S012,9,33,0.628226728,5,5,3,7,6,5,1,1
3,"0,2;1,4,5;3,6",S001、S002、S004、S005、S008、S011、S014 / S003、S006、S007、S010、S012、S015 / S009、S013,8,32,0.639620489,5,5,3,7,5,5,1,1
3,"0,2;1,4,6;3,5",S001、S002、S004、S005、S008、S011、S014 / S003、S006、S007、S010、S013、S015 / S009、S012,7,31,0.628143736,5,4,3,7,5,5,1,1
3,"0,2;1,5,6;3,4",S001、S002、S004、S005、S008、S011、S014 / S003、S006、S007、S012、S013、S015 / S009、S010,8,32,0.638341162,5,5,3,7,5,5,1,1
3,"0,2;1,3,4,5;6",S001、S002、S004、S005、S008、S011、S014 / S003、S006、S007、S009、S010、S012、S015 / S013,8,32,0.68806579,5,5,3,7,5,5,1,1
3,"0,2;1,3,4,6;5",S001、S002、S004、S005、S008、S011、S014 / S003、S006、S007、S009、S010、S013、S015 / S012,7,31,0.674526135,5,4,3,7,5,5,1,1
3,"0,2;1,3,5,6;4",S001、S002、S004、S005、S008、S011、S014 / S003、S006、S007、S009、S012、S013、S015 / S010,8,32,0.686567455,5,5,3,7,5,5,1,1
3,"0,2;1,4,5,6;3",S001、S002、S004、S005、S008、S011、S014 / S003、S006、S007、S010、S012、S013、S015 / S009,9,33,0.686465491,5,5,3,7,6,5,1,1
3,"0,3;1;2,4,5,6",S001、S002、S005、S008、S009、S014 / S003、S006、S007、S015 / S004、S010、S011、S012、S013,13,37,0.294637212,7,5,3,9,6,5,1,1
3,"0,3;1,2;4,5,6",S001、S002、S005、S008、S009、S014 / S003、S004、S006、S007、S011、S015 / S010、S012、S013,8,32,0.474215507,5,5,2,8,6,4,1,1
3,"0,3;1,4;2,5,6",S001、S002、S005、S008、S009、S014 / S003、S006、S007、S010、S015 / S004、S011、S012、S013,12,36,0.305282245,7,5,3,9,5,5,1,1
3,"0,3;1,5;2,4,6",S001、S002、S005、S008、S009、S014 / S003、S006、S007、S012、S015 / S004、S010、S011、S013,11,35,0.311205579,7,4,3,9,5,5,1,1
3,"0,3;1,6;2,4,5",S001、S002、S005、S008、S009、S014 / S003、S006、S007、S013、S015 / S004、S010、S011、S012,12,36,0.304642476,7,5,3,9,5,5,1,1
3,"0,3;1,2,4;5,6",S001、S002、S005、S008、S009、S014 / S003、S004、S006、S007、S010、S011、S015 / S012、S013,7,31,0.54396789,5,5,2,8,5,4,1,1
3,"0,3;1,2,5;4,6",S001、S002、S005、S008、S009、S014 / S003、S004、S006、S007、S011、S012、S015 / S010、S013,6,30,0.561086967,5,4,2,8,5,4,1,1
3,"0,3;1,2,6;4,5",S001、S002、S005、S008、S009、S014 / S003、S004、S006、S007、S011、S013、S015 / S010、S012,7,31,0.541889944,5,5,2,8,5,4,1,1
3,"0,3;1,4,5;2,6",S001、S002、S005、S008、S009、S014 / S003、S006、S007、S010、S012、S015 / S004、S011、S013,12,36,0.34840281,7,5,3,9,5,5,1,1
3,"0,3;1,4,6;2,5",S001、S002、S005、S008、S009、S014 / S003、S006、S007、S010、S013、S015 / S004、S011、S012,11,35,0.336825023,7,4,3,9,5,5,1,1
3,"0,3;1,5,6;2,4",S001、S002、S005、S008、S009、S014 / S003、S006、S007、S012、S013、S015 / S004、S010、S011,12,36,0.347088307,7,5,3,9,5,5,1,1
3,"0,3;1,2,4,5;6",S001、S002、S005、S008、S009、S014 / S003、S004、S006、S007、S010、S011、S012、S015 / S013,7,31,0.63560109,5,5,2,8,5,4,1,1
3,"0,3;1,2,4,6;5",S001、S002、S005、S008、S009、S014 / S003、S004、S006、S007、S010、S011、S013、S015 / S012,6,30,0.615567483,5,4,2,8,5,4,1,1
3,"0,3;1,2,5,6;4",S001、S002、S005、S008、S009、S014 / S003、S004、S006、S007、S011、S012、S013、S015 / S010,7,31,0.633410119,5,5,2,8,5,4,1,1
3,"0,3;1,4,5,6;2",S001、S002、S005、S008、S009、S014 / S003、S006、S007、S010、S012、S013、S015 / S004、S011,11,35,0.399078682,7,4,3,9,5,5,1,1
3,"0,4;1;2,3,5,6",S001、S002、S005、S008、S010、S014 / S003、S006、S007、S015 / S004、S009、S011、S012、S013,12,36,0.294492764,7,5,3,9,5,5,1,1
3,"0,4;1,2;3,5,6",S001、S002、S005、S008、S010、S014 / S003、S004、S006、S007、S011、S015 / S009、S012、S013,7,31,0.474058671,5,5,2,8,5,4,1,1
3,"0,4;1,3;2,5,6",S001、S002、S005、S008、S010、S014 / S003、S006、S007、S009、S015 / S004、S011、S012、S013,13,37,0.305163437,7,5,3,9,6,5,1,1
3,"0,4;1,5;2,3,6",S001、S002、S005、S008、S010、S014 / S003、S006、S007、S012、S015 / S004、S009、S011、S013,10,34,0.311040106,7,4,3,9,4,5,1,1
3,"0,4;1,6;2,3,5",S001、S002、S005、S008、S010、S014 / S003、S006、S007、S013、S015 / S004、S009、S011、S012,10,34,0.304479727,7,4,3,9,4,5,1,1
3,"0,4;1,2,3;5,6",S001、S002、S005、S008、S010、S014 / S003、S004、S006、S007、S009、S011、S015 / S012、S013,8,32,0.543959708,5,5,2,8,6,4,1,1
3,"0,4;1,2,5;3,6",S001、S002、S005、S008、S010、S014 / S003、S004、S006、S007、S011、S012、S015 / S009、S013,5,29,0.560938495,5,4,2,8,4,4,1,1
3,"0,4;1,2,6;3,5",S001、S002、S005、S008、S010、S014 / S003、S004、S006、S007、S011、S013、S015 / S009、S012,5,29,0.541739746,5,4,2,8,4,4,1,1
3,"0,4;1,3,5;2,6",S001、S002、S005、S008、S010、S014 / S003、S006、S007、S009、S012、S015 / S004、S011、S013,11,35,0.348324357,7,4,3,9,5,5,1,1
3,"0,4;1,3,6;2,5",S001、S002、S005、S008、S010、S014 / S003、S006、S007、S009、S013、S015 / S004、S011、S012,11,35,0.336738185,7,4,3,9,5,5,1,1
3,"0,4;1,5,6;2,3",S001、S002、S005、S008、S010、S014 / S003、S006、S007、S012、S013、S015 / S004、S009、S011,12,36,0.346919721,7,5,3,9,5,5,1,1
3,"0,4;1,2,3,5;6",S001、S002、S005、S008、S010、S014 / S003、S004、S006、S007、S009、S011、S012、S015 / S013,6,30,0.635608143,5,4,2,8,5,4,1,1
3,"0,4;1,2,3,6;5",S001、S002、S005、S008、S010、S014 / S003、S004、S006、S007、S009、S011、S013、S015 / S012,6,30,0.615571653,5,4,2,8,5,4,1,1
3,"0,4;1,2,5,6;3",S001、S002、S005、S008、S010、S014 / S003、S004、S006、S007、S011、S012、S013、S015 / S009,7,31,0.633267521,5,5,2,8,5,4,1,1
3,"0,4;1,3,5,6;2",S001、S002、S005、S008、S010、S014 / S003、S006、S007、S009、S012、S013、S015 / S004、S011,10,34,0.39902778,7,4,3,9,4,5,1,1
3,"0,5;1;2,3,4,6",S001、S002、S005、S008、S012、S014 / S003、S006、S007、S015 / S004、S009、S010、S011、S013,12,36,0.311995501,7,4,3,9,6,5,1,1
3,"0,5;1,2;3,4,6",S001、S002、S005、S008、S012、S014 / S003、S004、S006、S007、S011、S015 / S009、S010、S013,7,31,0.492929768,5,4,2,8,6,4,1,1
3,"0,5;1,3;2,4,6",S001、S002、S005、S008、S012、S014 / S003、S006、S007、S009、S015 / S004、S010、S011、S013,13,37,0.324772485,7,4,3,9,7,5,1,1
3,"0,5;1,4;2,3,6",S001、S002、S005、S008、S012、S014 / S003、S006、S007、S010、S015 / S004、S009、S011、S013,11,35,0.32472562,7,4,3,9,5,5,1,1
3,"0,5;1,6;2,3,4",S001、S002、S005、S008、S012、S014 / S003、S006、S007、S013、S015 / S004、S009、S010、S011,11,35,0.324047643,7,4,3,9,5,5,1,1
3,"0,5;1,2,3;4,6",S001、S002、S005、S008、S012、S014 / S003、S004、S006、S007、S009、S011、S015 / S010、S013,8,32,0.562029835,5,4,2,8,7,4,1,1
3,"0,5;1,2,4;3,6",S001、S002、S005、S008、S012、S014 / S003、S004、S006、S007、S010、S011、S015 / S009、S013,6,30,0.561889533,5,4,2,8,5,4,1,1
3,"0,5;1,2,6;3,4",S001、S002、S005、S008、S012、S014 / S003、S004、S006、S007、S011、S013、S015 / S009、S010,6,30,0.559833772,5,4,2,8,5,4,1,1
3,"0,5;1,3,4;2,6",S001、S002、S005、S008、S012、S014 / S003、S006、S007、S009、S010、S015 / S004、S011、S013,12,36,0.35818068,7,4,3,9,6,5,1,1
3,"0,5;1,3,6;2,4",S001、S002、S005、S008、S012、S014 / S003、S006、S007、S009、S013、S015 / S004、S010、S011,12,36,0.35697173,7,4,3,9,6,5,1,1
3,"0,5;1,4,6;2,3",S001、S002、S005、S008、S012、S014 / S003、S006、S007、S010、S013、S015 / S004、S009、S011,12,36,0.356889768,7,4,3,9,6,5,1,1
3,"0,5;1,2,3,4;6",S001、S002、S005、S008、S012、S014 / S003、S004、S006、S007、S009、S010、S011、S015 / S013,7,31,0.635081352,5,4,2,8,6,4,1,1
3,"0,5;1,2,3,6;4",S001、S002、S005、S008、S012、S014 / S003、S004、S006、S007、S009、S011、S013、S015 / S010,7,31,0.632927799,5,4,2,8,6,4,1,1
3,"0,5;1,2,4,6;3",S001、S002、S005、S008、S012、S014 / S003、S004、S006、S007、S010、S011、S013、S015 / S009,7,31,0.632781036,5,4,2,8,6,4,1,1
3,"0,5;1,3,4,6;2",S001、S002、S005、S008、S012、S014 / S003、S006、S007、S009、S010、S013、S015 / S004、S011,10,34,0.405589625,7,3,3,9,5,5,1,1
3,"0,6;1;2,3,4,5",S001、S002、S005、S008、S013、S014 / S003、S006、S007、S015 / S004、S009、S010、S011、S012,13,37,0.292377382,7,5,3,9,6,5,1,1
3,"0,6;1,2;3,4,5",S001、S002、S005、S008、S013、S014 / S003、S004、S006、S007、S011、S015 / S009、S010、S012,8,32,0.471759576,5,5,2,8,6,4,1,1
3,"0,6;1,3;2,4,5",S001、S002、S005、S008、S013、S014 / S003、S006、S007、S009、S015 / S004、S010、S011、S012,14,38,0.302772032,7,5,3,9,7,5,1,1
3,"0,6;1,4;2,3,5",S001、S002、S005、S008、S013、S014 / S003、S006、S007、S010、S015 / S004、S009、S011、S012,11,35,0.302728088,7,4,3,9,5,5,1,1
3,"0,6;1,5;2,3,4",S001、S002、S005、S008、S013、S014 / S003、S006、S007、S012、S015 / S004、S009、S010、S011,11,35,0.308613814,7,4,3,9,5,5,1,1
3,"0,6;1,2,3;4,5",S001、S002、S005、S008、S013、S014 / S003、S004、S006、S007、S009、S011、S015 / S010、S012,9,33,0.541761269,5,5,2,8,7,4,1,1
3,"0,6;1,2,4;3,5",S001、S002、S005、S008、S013、S014 / S003、S004、S006、S007、S010、S011、S015 / S009、S012,6,30,0.541619253,5,4,2,8,5,4,1,1
3,"0,6;1,2,5;3,4",S001、S002、S005、S008、S013、S014 / S003、S004、S006、S007、S011、S012、S015 / S009、S010,6,30,0.558762438,5,4,2,8,5,4,1,1
3,"0,6;1,3,4;2,5",S001、S002、S005、S008、S013、S014 / S003、S006、S007、S009、S010、S015 / S004、S011、S012,12,36,0.33547185,7,4,3,9,6,5,1,1
3,"0,6;1,3,5;2,4",S001、S002、S005、S008、S013、S014 / S003、S006、S007、S009、S012、S015 / S004、S010、S011,12,36,0.345852615,7,4,3,9,6,5,1,1
3,"0,6;1,4,5;2,3",S001、S002、S005、S008、S013、S014 / S003、S006、S007、S010、S012、S015 / S004、S009、S011,13,37,0.345762478,7,5,3,9,6,5,1,1
3,"0,6;1,2,3,4;5",S001、S002、S005、S008、S013、S014 / S003、S004、S006、S007、S009、S010、S011、S015 / S012,7,31,0.615638114,5,4,2,8,6,4,1,1
3,"0,6;1,2,3,5;4",S001、S002、S005、S008、S013、S014 / S003、S004、S006、S007、S009、S011、S012、S015 / S010,7,31,0.633520965,5,4,2,8,6,4,1,1
3,"0,6;1,2,4,5;3",S001、S002、S005、S008、S013、S014 / S003、S004、S006、S007、S010、S011、S012、S015 / S009,8,32,0.633371315,5,5,2,8,6,4,1,1
3,"0,6;1,3,4,5;2",S001、S002、S005、S008、S013、S014 / S003、S006、S007、S009、S010、S012、S015 / S004、S011,11,35,0.398288756,7,4,3,9,5,5,1,1
3,"0,1,2;3;4,5,6",S001、S002、S003、S004、S005、S006、S007、S008、S011、S014、S015 / S009 / S010、S012、S013,5,29,1.105926589,4,5,2,6,6,4,1,1
3,"0,1,2;3,4;5,6",S001、S002、S003、S004、S005、S006、S007、S008、S011、S014、S015 / S009、S010 / S012、S013,4,28,1.101918916,4,5,2,6,5,4,1,1
3,"0,1,2;3,5;4,6",S001、S002、S003、S004、S005、S006、S007、S008、S011、S014、S015 / S009、S012 / S010、S013,3,27,1.10194318,4,4,2,6,5,4,1,1
3,"0,1,2;3,6;4,5",S001、S002、S003、S004、S005、S006、S007、S008、S011、S014、S015 / S009、S013 / S010、S012,4,28,1.101941441,4,5,2,6,5,4,1,1
3,"0,1,2;3,4,5;6",S001、S002、S003、S004、S005、S006、S007、S008、S011、S014、S015 / S009、S010、S012 / S013,4,28,1.106155456,4,5,2,6,5,4,1,1
3,"0,1,2;3,4,6;5",S001、S002、S003、S004、S005、S006、S007、S008、S011、S014、S015 / S009、S010、S013 / S012,3,27,1.104393279,4,4,2,6,5,4,1,1
3,"0,1,2;3,5,6;4",S001、S002、S003、S004、S005、S006、S007、S008、S011、S014、S015 / S009、S012、S013 / S010,4,28,1.105941011,4,5,2,6,5,4,1,1
3,"0,1,3;2;4,5,6",S001、S002、S003、S005、S006、S007、S008、S009、S014、S015 / S004、S011 / S010、S012、S013,9,33,0.851115034,6,4,3,8,5,5,1,1
3,"0,1,3;2,4;5,6",S001、S002、S003、S005、S006、S007、S008、S009、S014、S015 / S004、S010、S011 / S012、S013,10,34,0.860529145,6,5,3,8,5,5,1,1
3,"0,1,3;2,5;4,6",S001、S002、S003、S005、S006、S007、S008、S009、S014、S015 / S004、S011、S012 / S010、S013,9,33,0.863978919,6,4,3,8,5,5,1,1
3,"0,1,3;2,6;4,5",S001、S002、S003、S005、S006、S007、S008、S009、S014、S015 / S004、S011、S013 / S010、S012,10,34,0.860139143,6,5,3,8,5,5,1,1
3,"0,1,3;2,4,5;6",S001、S002、S003、S005、S006、S007、S008、S009、S014、S015 / S004、S010、S011、S012 / S013,10,34,0.883585097,6,5,3,8,5,5,1,1
3,"0,1,3;2,4,6;5",S001、S002、S003、S005、S006、S007、S008、S009、S014、S015 / S004、S010、S011、S013 / S012,9,33,0.877616574,6,4,3,8,5,5,1,1
3,"0,1,3;2,5,6;4",S001、S002、S003、S005、S006、S007、S008、S009、S014、S015 / S004、S011、S012、S013 / S010,10,34,0.882908571,6,5,3,8,5,5,1,1
3,"0,1,4;2;3,5,6",S001、S002、S003、S005、S006、S007、S008、S010、S014、S015 / S004、S011 / S009、S012、S013,8,32,0.850964147,6,4,3,8,4,5,1,1
3,"0,1,4;2,3;5,6",S001、S002、S003、S005、S006、S007、S008、S010、S014、S015 / S004、S009、S011 / S012、S013,10,34,0.860398344,6,5,3,8,5,5,1,1
3,"0,1,4;2,5;3,6",S001、S002、S003、S005、S006、S007、S008、S010、S014、S015 / S004、S011、S012 / S009、S013,8,32,0.863819937,6,4,3,8,4,5,1,1
3,"0,1,4;2,6;3,5",S001、S002、S003、S005、S006、S007、S008、S010、S014、S015 / S004、S011、S013 / S009、S012,8,32,0.859981679,6,4,3,8,4,5,1,1
3,"0,1,4;2,3,5;6",S001、S002、S003、S005、S006、S007、S008、S010、S014、S015 / S004、S009、S011、S012 / S013,8,32,0.883467821,6,4,3,8,4,5,1,1
3,"0,1,4;2,3,6;5",S001、S002、S003、S005、S006、S007、S008、S010、S014、S015 / S004、S009、S011、S013 / S012,8,32,0.877496317,6,4,3,8,4,5,1,1
3,"0,1,4;2,5,6;3",S001、S002、S003、S005、S006、S007、S008、S010、S014、S015 / S004、S011、S012、S013 / S009,10,34,0.882745049,6,5,3,8,5,5,1,1
3,"0,1,5;2;3,4,6",S001、S002、S003、S005、S006、S007、S008、S012、S014、S015 / S004、S011 / S009、S010、S013,8,32,0.869112461,6,3,3,8,5,5,1,1
3,"0,1,5;2,3;4,6",S001、S002、S003、S005、S006、S007、S008、S012、S014、S015 / S004、S009、S011 / S010、S013,10,34,0.879340117,6,4,3,8,6,5,1,1
3,"0,1,5;2,4;3,6",S001、S002、S003、S005、S006、S007、S008、S012、S014、S015 / S004、S010、S011 / S009、S013,9,33,0.879311919,6,4,3,8,5,5,1,1
3,"0,1,5;2,6;3,4",S001、S002、S003、S005、S006、S007、S008、S012、S014、S015 / S004、S011、S013 / S009、S010,9,33,0.878902011,6,4,3,8,5,5,1,1
3,"0,1,5;2,3,4;6",S001、S002、S003、S005、S006、S007、S008、S012、S014、S015 / S004、S009、S010、S011 / S013,9,33,0.897654009,6,4,3,8,5,5,1,1
3,"0,1,5;2,3,6;4",S001、S002、S003、S005、S006、S007、S008、S012、S014、S015 / S004、S009、S011、S013 / S010,9,33,0.897015765,6,4,3,8,5,5,1,1
3,"0,1,5;2,4,6;3",S001、S002、S003、S005、S006、S007、S008、S012、S014、S015 / S004、S010、S011、S013 / S009,10,34,0.896972476,6,4,3,8,6,5,1,1
3,"0,1,6;2;3,4,5",S001、S002、S003、S005、S006、S007、S008、S013、S014、S015 / S004、S011 / S009、S010、S012,9,33,0.848752122,6,4,3,8,5,5,1,1
3,"0,1,6;2,3;4,5",S001、S002、S003、S005、S006、S007、S008、S013、S014、S015 / S004、S009、S011 / S010、S012,11,35,0.858086902,6,5,3,8,6,5,1,1
3,"0,1,6;2,4;3,5",S001、S002、S003、S005、S006、S007、S008、S013、S014、S015 / S004、S010、S011 / S009、S012,9,33,0.858060238,6,4,3,8,5,5,1,1
